ID,Name_ID,Old_ID,Type,Grade,Make,Model,Picture,Serial_Number,Price,Stored_In,Dept
135,2682,2682,BASS-String,grade,Samuel Shen,SB 300,img,99-10-8,5720.0,156,1
136,2683,2683,BASS-String,grade,Samuel Shen,SB 800,img,99-10-9,6220.0,157,1
137,3025,3025,BASS-String,grade,Hans Kroger,870WGH,img,7562,1740.0,151,1
138,3740,3740,BASS-String,grade,Eberhard Meinal,0,img,0,5950.0,154,1
139,886,886,BANJO,grade,Antares,ABJ-243,img,0,400.0,230,1
140,887,887,BANJO,grade,Antares,ABJ-243,img,0,400.0,161,1
141,2033,2033,BANJO,grade,Antares,ABJ-243,img,0,489.0,221,1
142,2929,2929,BANJO,grade,Gold Tone,BG250,img,220945,665.0,222,1
143,3091,3091,BANJO,grade,Gold Tone,BG250F,img,0,695.0,226,1
144,3384,3384,BANJO,grade,Gold Tone,BG250F,img,0,769.0,149,1
145,3385,3385,BANJO,grade,Gold Tone,BG250F,img,0,769.0,190,1
146,3386,3386,BANJO,grade,Gold Tone,BG250F,img,0,769.0,149,1
147,3703,3703,BANJO,grade,White Ladye,GT-WL250,img,21507140,,133,1
148,3704,3704,BANJO,grade,White Ladye,GT-WL250,img,21507142,,133,1
149,3777,3777,BANJO,grade,Deering,Artison,img,0,725.0,224,1
150,3778,3778,BANJO,grade,Deering,Artison,img,0,725.0,139,1
151,1,1,Banjo new,grade,Gold Tone,,img,,,133,1
152,2,2,banjo new,grade,Gold Tone,,img,,,133,1
153,517,517,GUITAR,grade,La Patrie,Etude Classical,img,4523169,330.0,219,1
154,624,624,GUITAR,grade,Yamaha,G-100A,img,Yamaha 1,300.0,0,1
155,625,625,GUITAR,grade,Dauphin,D-14,img,Dauphin 1,199.0,225,1
156,626,626,GUITAR,grade,Dauphin,D-14,img,Dauphin 2,199.0,218,1
157,627,627,GUITAR,grade,Dauphin,D-14,img,Dauphin 3,199.0,149,1
158,628,628,GUITAR,grade,G.J. Gould and Son; Made in Japan,GM20  Matsuoka ,img,Gould 1,300.0,90,1
159,629,629,GUITAR,grade,G.J. Gould and Son; Made in Japan,GM20  Matsuoka ,img,Gould 2,300.0,149,1
160,630,630,GUITAR,grade,G.J. Gould and Son; Made in Japan,GM20  Matsuoka ,img,Gould 3,300.0,223,1
161,779,779,GUITAR - Left Handed,grade,Yamaha,CG-150SA,img,Yamaha LH1  21015356,320.0,216,1
162,788,788,GUITAR,grade,La Patrie,Etude Classical,img,4022086,350.0,0,1
163,882,882,GUITAR-STEEL STRING,grade,Sigma,DT-4M,img,93020310,364.0,90,1
164,985,985,GUITAR-STEEL STRING,grade,Cort,EARTH1000 N,img,N 039385,503.0,163,1
165,3001,3001,GUITAR,grade,La Patrie,Etude Classical ALA80D,img,2303894,350.0,227,1
166,3002,3002,GUITAR,grade,La Patrie,Etude Classical ALA80D,img,3193400,350.0,217,1
167,3003,3003,GUITAR,grade,Takamine,G-1245,img,QKH287359,420.0,237,1
168,3004,3004,GUITAR,grade,Takamine,G-1245,img,QKI047290,420.0,90,1
169,3005,3005,GUITAR,grade,Takamine,G-1245,img,QKI057107,420.0,163,1
170,3011,3011,GUITAR-Bass,grade,Johnson,JP800P Sunburst Bass,img,0,,0,1
171,3030,3030,GUITAR,grade,Takamine,G-1245,img,QKJ117068,420.0,134,1
172,3031,3031,GUITAR,grade,Takamine,G-1245,img,QKJ127003,420.0,231,1
173,3103,3103,GUITAR-BASS,grade,Pedulla,8512 USA,img,0,2926.0,0,1
174,3533,3533,GUITAR,grade,La Patrie,Concert Classical,img,0,478.0,134,1
175,3534,3534,GUITAR,grade,La Patrie,Concert Classical,img,0,478.0,90,1
176,3535,3535,GUITAR-Resophonic (DOBRO),grade,REGAL,RD40MS,img,0,547.0,134,1
177,3587,3587,GUITAR,grade,La Patrie,Concert Classical,img,425001985,489.0,220,1
178,3588,3588,GUITAR - classical - Snapped String,grade,La Patrie,Etude Classical,img,340005389,435.0,90,1
179,3589,3589,GUITAR-Electric-hollow top,grade,Epiphone,Joe Pass,img,SI07041304,495.0,239,1
180,3590,3590,GUITAR-Electric-Bass and AMP,grade,Fender,Deluxe Active,img,MZ8074995,525.0,192,1
181,3600,3600,GUITAR-3/4 size,grade,Cordoba,C3M Cadete,img,3/4 guitar,,133,1
182,3626,3626,GUITAR,grade,Cordoba,C3M,img,0,,134,1
183,3664,3664,GUITAR-3/4 size,grade,Cordoba,C3M Cadete,img,3/4 guitar,293.0,229,1
184,3670,3670,GUITAR-3/4 size,grade,Cordoba,C3M Cadete,img,11317473,309.0,228,1
185,3671,3671,GUITAR-3/4 size,grade,Cordoba,C3M Cadete,img,11317474,309.0,224,1
186,3672,3672,AMP/SPEAKER,grade,Ampeg,BA-110,img,AUFP0043,179.0,149,1
187,3674,3674,GUITAR,grade,Takamine,GC-1,img,TC13100141,,90,1
188,3682,3682,"GUITAR-Electric-Bass, cord and amp",grade,Squier,Classic Vibe,img,CGS080602938,299.0,148,1
189,3683,3683,"Bass Guitar3682 , AMP/SPEAKER",grade,Ampeg,BA-110,img,AUFB0186,179.0,149,1
190,3685,3685,GUITAR,grade,Fender,CN90,img,OI14100706,,90,1
191,3686,3686,GUITAR,grade,Fender,CN90,img,OI14100686,,90,1
192,3687,3687,GUITAR,grade,Fender,CD60,img,IPS1410277,,133,1
193,3688,3688,GUITAR,grade,Fender,CD60,img,IPS1410281,,133,1
194,3724,3724,GUITAR,grade,Ventura,VWDONAT-left,img,0,205.0,90,1
195,3741,3741,GUITAR-3/4 size,grade,Cordoba,C5 Cadete,img,916207,329.0,0,1
196,3742,3742,GUITAR-3/4 size,grade,Cordoba,C5 Cadete,img,916211,329.0,90,1
197,3743,3743,GUITAR-4/4 size,grade,Cordoba,F7 PACO,img,11604872,539.0,139,1
198,3744,3744,GUITAR-4/4 size,grade,Cordoba,F7 PACO,img,11604875,539.0,162,1
199,3745,3745,GUITAR-4/4 size,grade,Cordoba,F7 PACO,img,71607016,539.0,134,1
200,3746,3746,GUITAR-4/4 size,grade,Cordoba,F7 PACO,img,71607017,539.0,139,1
201,3747,3747,GUITAR-4/4 size,grade,Cordoba,F7 PACO,img,71607018,539.0,162,1
202,3748,3748,GUITAR-3/4 size,grade,Cordoba,C5 Cadete,img,11607034,329.0,160,1
203,3749,3749,GUITAR-3/4 size,grade,Cordoba,C5 Cadete,img,11705572,329.0,139,1
204,3750,3750,GUITAR-4/4 size,grade,Cordoba,F7 Paco Flamenco,img,71700651,539.0,235,1
205,3751,3751,GUITAR-4/4 size,grade,Cordoba,F7 Paco Flamenco,img,71700658,539.0,139,1
206,3752,3752,GUITAR-4/4 size,grade,Cordoba,F7 Paco Flamenco,img,0,539.0,139,1
207,3753,3753,GUITAR-4/4 size,grade,Cordoba,F7 Paco Flamenco,img,0,539.0,160,1
208,3754,3754,GUITAR-4/4 size,grade,Cordoba,F7 Paco Flamenco,img,0,539.0,162,1
209,3798,3798,GUITAR - classical,grade,La Patrie,Etude,img,45402001516,459.0,90,1
210,4000,4000,Electric Bass Guitar,grade,Fender Squire,,img,ICSJ21037803,,194,1
211,5506,5506,Guitar - 3/4 size - Classical,grade,Yamaha,CGS103A,img,IIM089434,,134,1
212,5507,5507,Guitar - 3/4 size - Classical,grade,Yamaha,CGS103A,img,IIM089436,,134,1
213,5508,5508,Guitar - 3/4 size - Classical,grade,Yamaha,CGS103A,img,IIM089435,,90,1
214,5509,5509,Guitar - 3/4 size - Classical,grade,Yamaha,CGS103A,img,IIM089432,,90,1
215,5510,5510,Guitar - 3/4 size - Classical,grade,Greg Bennett,TMJ-11CE/TBK,img,S130817656,,134,1
216,5511,5511,Guitar - Acoustic-Electric,grade,Fender,Rumble 100,img,AUFP0043,,147,1
217,3755,3755,Guitar Small (Fill Manually),grade,Cordoba,,img,,,134,1
218,3756,3756,Guitar Small (Fill Manually),grade,Cordoba,,img,,,134,1
219,3757,3757,Guitar Small (Fill Manually),grade,Cordoba,,img,,,134,1
220,10001,10001,GUitar steel string,grade,,,img,,,90,1
221,5560,5560,guitar formerly called 5507,grade,,,img,,,134,1
222,5561,5561,guitar found in locker with no number,grade,,,img,,,149,1
223,LH01,LH01,Guitar - Left handed (Fill manually),grade,,,img,,,149,1
